"id","student_name_id","user_id","bs_leave_from","bs_leave_to","ad_leave_from","ad_leave_to","num_days","request_through","leave_type","reason","approving_authority","created_at","updated_at"
"15","241","2","2079-03-07","2079-03-10",NULL,NULL,"3",NULL,NULL,"Exam Chale ko","Janak Bhatt","2022-06-22 03:36:49","2022-06-22 03:36:49"
"16","209","2","2079-03-07","2079-03-10",NULL,NULL,"3",NULL,NULL,"Exam Paxi Aune","Janak Bhatt","2022-06-22 03:38:07","2022-06-22 03:38:07"
"17","112","2","2079-03-07","2079-03-20",NULL,NULL,NULL,NULL,NULL,"Ghar gaye ko ropai sakiye paxi aaune","Janak Bhatt","2022-06-22 03:40:03","2022-06-22 03:40:03"
"18","306","2","2079-03-07","2079-03-08",NULL,NULL,"1",NULL,NULL,"Ropai x","Janak Bhatt","2022-06-22 05:07:58","2022-06-22 05:07:58"
"19","289","2","2079-03-07","2079-03-32",NULL,NULL,NULL,NULL,NULL,"Buwa lai sancho vyepaxi aune","Janak Bhatt","2022-06-22 05:22:33","2022-06-22 05:22:33"
"20","288","2","2079-03-07","2079-03-32",NULL,NULL,NULL,NULL,NULL,"Exam diyerw join garne","Janak Bhatt","2022-06-22 05:28:38","2022-06-22 05:28:38"
"21","359","2","2079-03-09","2079-03-11",NULL,NULL,"2",NULL,NULL,"Hospital Janu parne","Manoj BudhaAyer","2022-06-22 19:58:37","2022-06-22 19:58:37"
"22","4","2","2079-03-09","2079-03-20",NULL,NULL,"6",NULL,NULL,"personal","Janak Bhatt","2022-06-23 19:52:08","2022-06-30 20:58:16"
"23","363","2","2079-03-09","2079-03-17",NULL,NULL,"8",NULL,NULL,"ropai ko lagi","Rajendra Bhatt","2022-06-23 21:47:59","2022-06-23 21:47:59"
"24","362","2","2079-03-09","2079-03-13",NULL,NULL,"4",NULL,NULL,"ropai ko lagi","Rajendra Bhatt","2022-06-23 21:49:00","2022-06-23 21:49:00"
"26","74","2","2079-03-10","2079-04-06","2022-06-24","2022-07-22","27",NULL,NULL,"Exam Paxi Join Garne","Janak Bhatt","2022-06-25 00:42:40","2022-08-01 20:34:44"
"27","105","2","2079-03-12","2079-03-19",NULL,NULL,"7",NULL,NULL,"Medical leave","Janak Bhatt","2022-06-25 04:46:48","2022-06-25 04:46:48"
"30","416","2","2079-03-15","2079-03-32",NULL,NULL,NULL,NULL,NULL,"nepalganj xan","Janak Bhatt","2022-06-30 02:48:08","2022-06-30 02:48:08"
"31","557","2","2079-03-17","2079-03-18",NULL,NULL,"1",NULL,NULL,"Hospital jane","Janak Bhatt","2022-07-02 01:15:48","2022-07-02 01:15:48"
"32","387","2","2079-03-19","2079-03-26",NULL,NULL,NULL,"physical",NULL,"Loksewa exam","Janak Bhatt","2022-07-02 05:52:14","2022-07-02 05:52:14"
"34","115","2","2079-03-14","2079-03-30",NULL,NULL,"16","physical",NULL,"personal","Rajendra Bhatt","2022-07-03 01:12:16","2022-07-03 01:12:16"
"36","450","2","2079-03-19","2079-03-25",NULL,NULL,"6","physical",NULL,"medical urgency","Rajendra Bhatt","2022-07-04 05:38:48","2022-07-04 05:38:48"
"37","79","2","2079-03-20","2079-03-30",NULL,NULL,"10","physical",NULL,"Exam","Janak Bhatt","2022-07-04 23:05:08","2022-07-04 23:05:08"
"39","62","2","2079-03-24","2079-03-29",NULL,NULL,"5","physical",NULL,"Personal","Janak Bhatt","2022-07-07 23:39:26","2022-07-07 23:39:26"
"41","476","2","2079-04-04","2079-04-24","2022-07-20","2022-08-09","10","physical",NULL,"Pahad jane","Janak Bhatt","2022-07-20 00:54:21","2022-08-02 19:14:09"
"44","26","2","2079-03-01","2079-04-23","2022-06-15","2022-08-08",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-08-09 12:09:38"
"45","28","2","2079-03-01","2079-05-09","2022-06-15","2022-08-25","69","call",NULL,"Medical leave","Janak Bhatt","2022-07-26 05:28:20","2022-08-25 22:32:19"
"46","29","2","2079-03-01","2079-04-27","2022-06-15","2022-08-12","57","call",NULL,"Exam","Janak Bhatt","2022-07-26 05:28:20","2022-08-11 13:55:12"
"47","34","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"48","42","2","2079-03-01","2079-05-31","2022-06-15","2022-09-16","60","physical",NULL,"Web ko new group ma padhne","Janak Bhatt","2022-07-26 05:28:20","2022-08-11 14:05:42"
"49","54","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"50","57","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"51","74","2","2079-03-01","2079-04-23","2022-06-15","2022-08-08 00:00:00",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-08-09 18:13:39"
"52","76","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"53","77","2","2079-03-01","2079-04-23","2022-06-15","2022-08-08 00:00:00",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-08-09 13:03:59"
"54","78","2","2079-03-01","2079-04-23","2022-06-15","2022-08-08 00:00:00",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-08-09 13:04:01"
"55","79","2","2079-03-01","2079-06-23","2022-06-15","2022-10-09","114","call",NULL,"Personal-Only operating part remaining","Janak Bhatt","2022-07-26 05:28:20","2022-08-11 14:15:39"
"56","80","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"57","81","2","2079-03-01","2079-04-23","2022-06-15","2022-08-08 00:00:00",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-08-09 13:04:03"
"58","82","2","2079-03-01","2079-04-23","2022-06-15","2022-08-08 00:00:00",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-08-09 13:04:04"
"59","83","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"60","84","2","2079-03-01","2079-04-22","2022-06-15","2022-08-07 00:00:00",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-08-08 16:06:56"
"61","86","2","2079-03-01","2079-04-25","2022-06-15","2022-08-10 00:00:00",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-08-11 14:21:06"
"62","87","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"63","88","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"64","105","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"65","112","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"67","116","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"68","119","2","2079-03-01","2079-04-25","2022-06-15","2022-08-10 00:00:00",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-08-11 17:31:16"
"69","128","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"70","130","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"71","131","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"72","159","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"73","166","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"74","167","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"75","168","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"76","170","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"77","172","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"78","176","2","2079-03-01","2079-04-23","2022-06-15","2022-08-08 00:00:00",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-08-09 13:04:09"
"79","177","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"80","181","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"81","183","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"83","186","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"84","200","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"85","210","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"86","212","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"87","213","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"88","215","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"89","228","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"90","232","2","2079-05-26","2079-05-30","2022-09-11","2022-09-15","5","followup",NULL,"fever","Janak Bhatt","2022-07-26 05:28:20","2022-09-11 17:09:43"
"91","233","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"92","238","2","2079-03-01","2079-04-25","2022-06-15","2022-08-10 00:00:00",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-08-11 17:31:00"
"93","240","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"94","243","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"95","244","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"96","245","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"97","246","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"98","247","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"99","249","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"101","253","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"102","261","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"103","266","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"104","268","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"105","274","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"106","277","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"107","278","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"108","282","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"109","286","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"110","287","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"111","289","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"112","291","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"114","299","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"115","301","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"116","304","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"117","308","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"118","309","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"119","310","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"120","315","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"121","332","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"122","338","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"123","340","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"124","342","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"125","353","2","2079-03-01","2079-04-23","2022-06-15","2022-08-08 00:00:00",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-08-09 13:04:17"
"127","382","2","2079-03-01","2079-04-25","2022-06-15","2022-08-10 00:00:00",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-08-11 13:40:31"
"128","388","2","2079-03-01","2079-04-25","2022-06-15","2022-08-10 00:00:00",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-08-11 13:41:50"
"129","400","2","2079-03-01","2079-05-09","2022-06-15","2022-08-25","69","call",NULL,"Exam","Janak Bhatt","2022-07-26 05:28:20","2022-08-11 13:44:23"
"130","401","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"131","416","2","2079-03-01","2079-05-26","2022-06-15","2022-09-11","87","call",NULL,"exam","IT Zone","2022-07-26 05:28:20","2022-09-05 20:24:07"
"132","418","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"133","457","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"134","459","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"135","468","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"136","490","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"137","502","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"138","506","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"139","511","2","2079-03-01","2079-04-23","2022-06-15","2022-08-08 00:00:00",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-08-09 13:04:37"
"140","519","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"141","531","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"143","537","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"144","540","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"145","567","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"146","580","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"147","588","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"148","605","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"149","606","2","2079-03-01","2079-04-30","2022-06-15","2022-08-17",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-07-26 05:28:20"
"150","614","2","2079-03-01","2079-04-24","2022-06-15","2022-08-09 00:00:00",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-08-10 14:47:35"
"151","631","2","2079-03-01","2079-04-24","2022-06-15","2022-08-09 00:00:00",NULL,"none",NULL,"unknown","IT Zone","2022-07-26 05:28:20","2022-08-10 18:58:14"
"152","415","2","2079-04-10","2079-04-30","2022-07-26","2022-08-15",NULL,"none",NULL,"Contacless","IT Zone","2022-07-26 15:29:11","2022-07-26 15:29:11"
"153","722","2","2079-04-13","2079-04-28","2022-07-29","2022-08-13 00:00:00","18","physical",NULL,"personal","Janak Bhatt","2022-07-29 22:20:34","2022-08-15 00:05:02"
"154","348","2","2079-04-17","2080-01-01","2022-08-02","2023-04-14","259","physical",NULL,"See preparation (time namileko)","Manoj BudhaAyer","2022-08-02 14:36:13","2022-08-02 14:36:13"
"155","486","2","2079-04-17","2080-01-01","2022-08-02","2023-04-14","259","physical",NULL,"See Preparation (time nameleko)","Manoj BudhaAyer","2022-08-02 14:43:47","2022-08-02 14:43:47"
"156","487","2","2079-04-17","2080-01-01","2022-08-02","2023-04-14","259","physical",NULL,"dai sanga aaunthyo. dai bida ma xa. see preparation gardai xa.","Manoj BudhaAyer","2022-08-02 14:45:52","2022-08-02 14:46:59"
"157","480","2","2079-04-18","2079-05-23","2022-08-03","2022-09-08","36","physical",NULL,"Exam","Janak Bhatt","2022-08-02 16:46:30","2022-09-04 22:37:02"
"158","531","2","2079-04-18","2079-05-18","2022-08-03","2022-09-03","30","physical",NULL,"For Exam","Rajendra Bhatt","2022-08-02 22:43:03","2022-08-02 22:43:03"
"159","577","2","2079-04-18","2079-06-25","2022-08-03","2022-10-11","69","physical",NULL,"exam","Janak Bhatt","2022-08-02 23:50:28","2022-10-18 16:38:20"
"160","530","2","2079-04-18","2079-05-22","2022-08-03","2022-09-07","35","physical",NULL,"exam","Janak Bhatt","2022-08-02 23:52:05","2022-09-07 20:46:08"
"161","370","2","2079-04-22","2079-04-31","2022-08-07","2022-08-16","9","call",NULL,"Dhn gako","Janak Bhatt","2022-08-07 17:27:28","2022-08-07 17:27:28"
"162","373","2","2079-04-22","2079-05-15","2022-08-07","2022-08-31",NULL,"call",NULL,"SEE exam grade improvement. Informed by Janak Raj Bhatt","Janak Bhatt","2022-08-07 17:40:31","2022-08-07 17:40:31"
"163","376","2","2079-04-22","2079-05-15","2022-08-07","2022-08-31","23","none",NULL,"SEE exam grade improvement. Informed by Janak Raj Bhatt","Janak Bhatt","2022-08-07 17:40:55","2022-08-07 17:40:55"
"164","311","2","2079-04-22","2079-05-15","2022-08-07","2022-08-31","23","call",NULL,"SEE exam grade improvement. Informed by Janak Raj Bhatt","Janak Bhatt","2022-08-07 17:41:25","2022-08-07 17:41:25"
"165","489","2","2079-04-22","2079-05-15","2022-08-07","2022-08-31","23","call",NULL,"SEE exam grade improvement. Informed by Janak Raj Bhatt","Janak Bhatt","2022-08-07 17:41:40","2022-08-07 17:41:40"
"166","33","2","2079-04-22","2079-05-09","2022-08-07","2022-08-25","17","call",NULL,"Exam","Janak Bhatt","2022-08-07 21:36:30","2022-08-26 20:57:04"
"167","635","2","2079-04-23","2079-04-23","2022-08-08","2022-08-08 00:00:00","8","physical",NULL,"personal","Rajendra Bhatt","2022-08-07 22:40:27","2022-08-09 22:49:21"
"169","352","2","2079-04-23","2079-04-22","2022-08-08 10:27:28","2022-08-07 00:00:00",NULL,"none",NULL,"unknown","IT Zone","2022-08-08 16:12:28","2022-08-08 17:04:18"
"170","464","2","2079-04-23","2079-04-25","2022-08-08","2022-08-10","2","call",NULL,"Personal","Janak Bhatt","2022-08-08 16:36:08","2022-08-11 13:49:36"
"171","106","2","2079-04-01","2079-06-31","2022-07-17","2022-10-17","91","physical",NULL,"Exam","Janak Bhatt","2022-08-08 17:05:05","2022-08-08 17:05:05"
"172","481","2","2079-04-23","2079-04-31","2022-08-08","2022-08-16","8","call",NULL,"Entrance preparation","Janak Bhatt","2022-08-08 18:46:07","2022-08-08 18:46:07"
"173","482","2","2079-04-23","2079-04-28","2022-08-08","2022-08-13","5","call",NULL,"Kathmandu gayeko","Janak Bhatt","2022-08-08 18:47:39","2022-08-08 18:47:39"
"174","72","2","2079-04-23","2079-04-28","2022-08-08","2022-08-13","5","call",NULL,"Personal","Janak Bhatt","2022-08-08 18:52:34","2022-08-08 18:52:34"
"175","73","2","2079-04-23","2079-04-28","2022-08-08","2022-08-13","5","call",NULL,"Fever","Janak Bhatt","2022-08-08 19:37:29","2022-08-08 19:37:29"
"176","671","2","2079-04-23","2079-04-31","2022-08-08","2022-08-16","8","call",NULL,"Dang ga x","Janak Bhatt","2022-08-08 21:15:33","2022-08-08 21:15:33"
