"id","student_name_id","particular","pay_amount","pay_date","discount","due_amount","valid","followup","remarks","payment_method","received_by","user_id","status","created_at","updated_at"
"44","23","Course Fee","5000","2079-01-15",NULL,"0","-",NULL,"Paid by Planet VTE","cash","IT Zone","2","complete","2022-04-29 01:13:12","2022-04-29 01:13:12"
"45","96","Course Fee","4000","2078-08-27","0","8000","2079-02-03",NULL,NULL,"cash","IT Zone","2","due","2022-04-29 01:22:15","2022-05-04 22:57:13"
"47","105","Course Fee","5500","2079-01-15","0","1000","2079-01-21",NULL,NULL,"cash","IT Zone","2","due","2022-04-29 01:26:30","2022-05-04 03:36:10"
"48","93","Course Fee","12000","2078-09-08",NULL,"0","-",NULL,NULL,"cash","IT Zone","2","complete","2022-04-29 01:38:33","2022-04-29 01:38:33"
"49","93","book fee","0","2078-12-23","0","200","2079-01-25",NULL,NULL,"cash","IT Zone","2","due","2022-04-29 01:40:05","2022-04-29 01:40:05"
"50","97","Course Fee","3000","2078-11-20","0","9000","2079-01-20",NULL,NULL,"cash","IT Zone","2","due","2022-04-29 01:45:25","2022-04-29 01:45:25"
"51","106","Course Fee","4000","2078-12-29","0","8000","2079-02-10",NULL,NULL,"cash","IT Zone","2","due","2022-04-29 01:50:54","2022-05-21 03:55:44"
"53","20","Course Fee","7000","2078-12-29","2000","3000","2079-04-10",NULL,NULL,"cash","IT Zone","2","due","2022-04-29 02:09:33","2022-07-21 16:42:25"
"54","100","Course Fee","500","2078-11-26",NULL,"8000","2079-01-04",NULL,NULL,"cash","IT Zone","2","due","2022-04-29 02:24:41","2022-04-29 02:24:41"
"55","100","Course Fee","6000","2079-01-04","2000","0","-",NULL,NULL,"cash","IT Zone","2","complete","2022-04-29 02:25:27","2022-04-29 02:25:27"
"56","71","Course Fee","2500","2079-01-13",NULL,"0","-",NULL,NULL,"cash","IT Zone","2","complete","2022-04-29 02:39:07","2022-04-29 02:39:07"
"57","15","Course Fee","500","2078-11-20",NULL,"2000","2078-12-15",NULL,NULL,"cash","IT Zone","2","due","2022-04-29 02:41:28","2022-04-29 02:41:28"
"58","15","Course Fee","1500","2078-12-15","500","0","-",NULL,NULL,"cash","IT Zone","2","complete","2022-04-29 02:42:41","2022-04-29 02:42:41"
"59","55","Course Fee","1000","2078-11-29",NULL,"11000","2078-11-29",NULL,NULL,"cash","IT Zone","2","due","2022-04-29 02:46:59","2022-04-29 02:46:59"
"61","55","Course Fee","9000","2078-12-14","2000","0","-",NULL,NULL,"cash","IT Zone","2","complete","2022-04-29 02:48:56","2022-04-29 02:48:56"
"62","39","Course Fee","500","2078-11-30",NULL,"8000","2079-01-20",NULL,NULL,"cash","IT Zone","2","due","2022-04-29 02:56:02","2022-04-29 02:56:02"
"63","30","Course Fee","6500","2078-01-07","0","9100","2079-02-11",NULL,NULL,"cash","IT Zone","2","due","2022-04-29 04:28:59","2022-05-20 23:45:53"
"64","32","Course Fee","5000","2079-01-09","0","7000","2079-02-16",NULL,NULL,"cash","IT Zone","2","due","2022-04-29 04:34:29","2022-05-25 21:09:34"
"65","27","Course Fee","12000","2079-01-06","0","0","9999-99-99",NULL,NULL,"cash","IT Zone","2","complete","2022-04-29 04:40:50","2022-04-29 04:40:50"
"66","95","Course Fee","4000","2078-01-12","0","8000","2079-02-10",NULL,NULL,"cash","IT Zone","2","due","2022-04-29 04:51:43","2022-04-29 04:51:43"
"67","18","Course Fee","4000","2078-09-15","0","8000","2079-02-06",NULL,NULL,"cash","IT Zone","2","due","2022-04-29 04:58:59","2022-05-18 05:48:36"
"68","40","Course Fee","500","2078-11-30",NULL,"8000","2078-11-30",NULL,NULL,"cash","IT Zone","2","due","2022-04-29 05:04:34","2022-04-29 05:04:34"
"69","40","Course Fee","6000","2078-11-30","2000","0","9999-99-99",NULL,NULL,"cash","IT Zone","2","complete","2022-04-29 05:05:07","2022-04-29 05:05:07"
"70","34","Course Fee","10000","2078-09-19","2000","0","9999-99-99",NULL,NULL,"cash","IT Zone","2","complete","2022-04-29 05:07:27","2022-04-29 05:07:27"
"71","104","Course Fee","500","2078-12-02","0","16960","2079-01-23",NULL,NULL,"cash","IT Zone","2","due","2022-04-29 05:13:15","2022-08-03 00:21:39"
"72","104","Course Fee","2000","2078-12-15","0","14950","2079-04-17",NULL,"basic to ADIT","cash","IT Zone","2","due","2022-04-29 05:13:48","2022-08-03 00:24:46"
"73","47","Course Fee","2000","2078-09-12","0","3000","2079-01-22",NULL,NULL,"cash","IT Zone","2","due","2022-04-29 05:15:06","2022-05-04 22:17:36"
"74","43","Course Fee","500","2078-12-06","0","9000","2078-12-15",NULL,NULL,"cash","IT Zone","2","due","2022-04-29 05:22:32","2022-04-29 05:25:01"
"77","78","Course Fee","500","2078-12-07",NULL,"8000","2078-12-14",NULL,NULL,"cash","IT Zone","2","due","2022-04-29 05:29:34","2022-04-29 05:29:34"
"78","78","Course Fee","6000","2078-12-14","2000","0","9999-99-99",NULL,NULL,"cash","IT Zone","2","complete","2022-04-29 05:30:25","2022-04-29 05:30:25"
"79","77","Course Fee","6500","2078-12-14",NULL,"0","9999-99-99",NULL,NULL,"cash","IT Zone","2","complete","2022-04-29 05:35:07","2022-04-29 05:35:07"
"80","81","Course Fee","6500","2078-12-14",NULL,"0","9999-99-99",NULL,NULL,"cash","IT Zone","2","complete","2022-04-29 05:37:20","2022-04-29 05:37:20"
"81","58","Course Fee","7000","2078-08-29","0","5000","2079-01-25",NULL,NULL,"cash","IT Zone","2","due","2022-04-29 05:39:12","2022-04-29 05:39:12"
"82","46","Course Fee","2500","2078-12-08",NULL,"0","9999-99-99",NULL,NULL,"cash","IT Zone","2","complete","2022-04-29 05:44:44","2022-04-29 05:44:44"
"83","73","Course Fee","10000","2078-08-02","0","0","9999-99-99",NULL,NULL,"cash","IT Zone","2","complete","2022-04-29 05:46:10","2022-04-29 05:46:10"
"84","101","Course Fee","2300","2078-12-15","200","0","9999-99-99",NULL,NULL,"cash","IT Zone","2","complete","2022-04-29 05:46:52","2022-04-29 05:46:52"
"85","35","Course Fee","2500","2079-01-04",NULL,"0","9999-99-99",NULL,NULL,"cash","IT Zone","2","complete","2022-04-29 05:48:43","2022-04-29 05:48:43"
"86","102","Course Fee","2500","2078-12-01",NULL,"0","9999-99-99",NULL,NULL,"cash","IT Zone","2","complete","2022-04-29 06:15:03","2022-04-29 06:15:03"
"87","21","Course Fee","2000","2078-09-06","0","10000","2078-01-16",NULL,NULL,"cash","IT Zone","2","due","2022-04-29 06:22:38","2022-04-29 06:22:38"
"88","25","Course Fee","11500","2078-08-27","2000","500","2079-01-22",NULL,NULL,"cash","IT Zone","2","due","2022-04-29 06:30:59","2022-05-04 23:50:50"
"90","57","Course Fee","7500","2078-12-07","0","5500","9999-99-99",NULL,NULL,"cash","IT Zone","2","complete","2022-04-30 00:16:39","2022-04-30 00:16:39"
"91","38","Course Fee","2500","2078-12-29",NULL,"0","9999-99-99",NULL,NULL,"cash","IT Zone","2","complete","2022-04-30 00:43:44","2022-04-30 00:43:44"
"92","36","Course Fee","2000","2079-01-12",NULL,"500","2079-01-23",NULL,NULL,"cash","IT Zone","2","due","2022-04-30 00:50:46","2022-04-30 00:50:46"
"93","103","Course Fee","1500","2079-01-05","0","1000","2079-03-20",NULL,NULL,"cash","IT Zone","2","due","2022-04-30 00:56:25","2022-06-22 06:11:51"
"94","75","Course Fee","4500","2078-12-29",NULL,"0","9999-99-99",NULL,NULL,"cash","IT Zone","2","complete","2022-04-30 01:10:38","2022-04-30 01:10:38"
"95","80","Course Fee","5500","2078-12-29","1000","0","9999-99-99",NULL,NULL,"cash","IT Zone","2","complete","2022-04-30 01:19:36","2022-05-21 05:00:30"
"96","79","Course Fee","5000","2079-01-08","1500","0","9999-99-99",NULL,NULL,"cash","IT Zone","2","complete","2022-04-30 01:23:00","2022-05-21 04:59:26"
"97","69","Course Fee","2500","2078-12-29",NULL,"0","9999-99-99",NULL,NULL,"cash","IT Zone","2","complete","2022-04-30 01:48:20","2022-04-30 01:48:20"
"98","89","Course Fee","1000","2078-11-01","1000","0","9999-99-99",NULL,NULL,"cash","IT Zone","2","complete","2022-04-30 01:57:52","2022-04-30 01:57:52"
"99","98","Course Fee","7000","2078-10-28","7000","0","9999-99-99",NULL,NULL,"cash","IT Zone","2","complete","2022-04-30 02:05:22","2022-04-30 02:05:22"
"100","90","Course Fee","4500","2079-01-11","0","2000","2079-01-28",NULL,NULL,"cash","IT Zone","2","due","2022-04-30 02:06:39","2022-05-07 05:27:08"
"101","92","Course Fee","2500","2079-01-14",NULL,"0","9999-99-99",NULL,NULL,"cash","IT Zone","2","complete","2022-04-30 02:09:15","2022-04-30 02:09:15"
"102","94","Course Fee","7000","2078-10-22","7000","0","9999-99-99",NULL,NULL,"cash","IT Zone","2","complete","2022-04-30 02:11:46","2023-02-05 14:58:04"
"103","48","Course Fee","500","2079-01-06","0","8000","2079-01-23",NULL,NULL,"cash","IT Zone","2","due","2022-04-30 02:12:22","2022-04-30 03:28:48"
"104","65","Course Fee","500","2079-01-06",NULL,"4500","2079-01-23",NULL,NULL,"cash","IT Zone","2","due","2022-04-30 02:16:32","2022-04-30 02:16:32"
"105","33","Course Fee","5000","2078-11-22","0","5000","2079-04-13",NULL,NULL,"cash","IT Zone","2","due","2022-04-30 02:18:33","2022-07-28 21:20:38"
"106","67","Course Fee","500","2079-01-06",NULL,"4500","2079-01-30",NULL,NULL,"cash","IT Zone","2","due","2022-04-30 02:19:43","2022-04-30 02:19:43"
"108","63","Course Fee","500","2079-01-08",NULL,"4500","2079-01-29",NULL,NULL,"cash","IT Zone","2","due","2022-04-30 02:30:41","2022-04-30 02:30:41"
"109","29","Course Fee","9500","2079-01-15",NULL,"0","9999-99-99",NULL,NULL,"cash","IT Zone","2","complete","2022-04-30 02:39:41","2022-04-30 02:39:41"
"110","42","Course Fee","7500","2078-12-28","0","0","9999-99-99",NULL,"Course incomplete","cash","IT Zone","2","complete","2022-04-30 02:43:19","2022-09-06 21:39:21"
"111","91","Course Fee","4000","2079-01-16","0","8000","2079-02-06",NULL,NULL,"cash","IT Zone","2","due","2022-04-30 02:45:44","2022-05-18 05:49:19"
"112","31","Course Fee","4000","2079-01-15","0","8000","2079-03-04",NULL,NULL,"cash","IT Zone","2","due","2022-04-30 02:49:47","2022-05-20 04:22:43"
"113","99","Course Fee","2500","2078-11-30","0","0","9999-99-99",NULL,NULL,"cash","IT Zone","2","complete","2022-04-30 02:50:20","2022-04-30 02:50:20"
"114","83","Course Fee","2500","2078-11-23","0","0","9999-99-99",NULL,NULL,"cash","IT Zone","2","complete","2022-04-30 02:59:22","2022-04-30 02:59:22"
"115","66","Course Fee","500","2079-01-11","500","4500","2079-02-23",NULL,NULL,"cash","IT Zone","2","due","2022-04-30 03:00:59","2022-05-21 03:54:07"
"116","108","Course Fee","11500","2078-12-30","4100","0","9999-99-99",NULL,NULL,"cash","IT Zone","2","complete","2022-05-03 01:56:59","2022-05-03 01:56:59"
"117","127","Course Fee","10000","2079-01-13","2000","0","9999-99-99",NULL,NULL,"cash","IT Zone","2","complete","2022-05-03 02:03:19","2022-05-03 02:03:19"
"118","109","Course Fee","2000","2078-11-20","0","13600","2079-02-26",NULL,NULL,"cash","IT Zone","2","due","2022-05-03 02:15:37","2022-05-08 22:30:16"
"119","110","Course Fee","4000","2079-01-14","0","7000","2079-02-13",NULL,NULL,"cash","IT Zone","2","due","2022-05-03 02:22:55","2022-05-22 22:37:49"
"120","111","Course Fee","1000","2078-09-04","0","10000","2079-02-22",NULL,NULL,"cash","IT Zone","2","due","2022-05-03 02:27:22","2022-05-20 22:39:27"
"122","114","Course Fee","9000","2078-12-21","6600","0","9999-99-99",NULL,NULL,"cash","IT Zone","2","complete","2022-05-03 02:55:50","2022-05-03 02:55:50"
"123","115","Course Fee","5500","2078-12-21","0","7850","2079-03-07",NULL,"luckey sekuwa","cash","Rajendra Pd Bhatt","2","due","2022-05-03 04:47:41","2022-06-21 22:55:20"
"124","116","Course Fee","2500","2079-01-11","0","0","9999-99-99",NULL,NULL,"cash","IT Zone","2","complete","2022-05-03 04:54:22","2022-05-03 04:54:22"
"125","120","Course Fee","500","2079-01-11","0","8000","2079-01-22",NULL,NULL,"cash","IT Zone","2","due","2022-05-03 05:11:16","2022-05-05 01:22:57"
"127","122","Course Fee","500","2079-01-14","0","2000","2079-01-22",NULL,NULL,"cash","IT Zone","2","due","2022-05-03 05:20:01","2022-05-05 01:22:28"
"128","123","Course Fee","500","2079-01-13","0","2000","2079-02-24",NULL,NULL,"cash","IT Zone","2","due","2022-05-03 05:28:12","2022-06-07 02:30:32"
"129","124","Course Fee","2500","2079-01-12","0","0","9999-99-99",NULL,NULL,"cash","IT Zone","2","complete","2022-05-03 05:31:35","2022-05-03 05:31:35"
"130","125","Course Fee","7000","2079-01-14","0","5000","2079-02-14",NULL,NULL,"cash","IT Zone","2","due","2022-05-03 05:41:49","2022-05-03 05:41:49"
"131","126","Course Fee","6500","2079-01-12","0","0","9999-99-99",NULL,NULL,"cash","IT Zone","2","complete","2022-05-03 05:48:46","2022-05-03 05:48:46"
"132","128","Course Fee","5550","2078-01-07","1050","0","9999-99-99",NULL,NULL,"cash","IT Zone","2","complete","2022-05-03 06:01:42","2022-05-03 06:01:42"
"133","129","Course Fee","500","2079-01-15","0","8000","2079-01-22",NULL,NULL,"cash","IT Zone","2","due","2022-05-03 06:07:50","2022-05-03 06:07:50"
"134","130","Course Fee","500","2079-01-19","0","6000","2079-02-22",NULL,NULL,"cash","IT Zone","2","due","2022-05-03 06:12:49","2022-06-03 03:03:18"
"135","131","Course Fee","2500","2078-11-30","0","0","9999-99-99",NULL,NULL,"cash","IT Zone","2","complete","2022-05-03 06:17:23","2022-05-03 06:17:23"
"136","132","Course Fee","2500","2078-12-13","0","0","9999-99-99",NULL,NULL,"cash","IT Zone","2","complete","2022-05-03 06:23:09","2022-05-03 06:23:09"
"137","36","Remaining fee","500","2079-01-19","0","0","9999-99-99",NULL,NULL,"cash","IT Zone","2","complete","2022-05-03 07:38:05","2022-05-03 07:39:34"
"138","16","Course Fee","4500","2079-01-19","2000","1500","2079-01-21",NULL,"OTP","cash","IT Zone","2","due","2022-05-03 07:44:50","2022-05-04 21:54:03"
"139","65","First Installment","1000","2079-01-19","1500","3500","2079-03-25",NULL,NULL,"cash","Janak Bhatt","2","due","2022-05-03 07:51:03","2022-07-04 19:37:25"
"140","87","Course Fee","4000","2079-01-08","0","8000","2079-02-08",NULL,NULL,"cash","IT Zone","2","due","2022-05-03 21:51:10","2022-05-20 23:55:18"
"141","60","Course Fee","2500","2078-10-16",NULL,"0","9999-99-99",NULL,NULL,"cash","IT Zone","2","complete","2022-05-03 22:50:47","2022-05-03 22:50:47"
"142","39","Course Fee","6000","2078-12-27","2000","0","9999-99-99",NULL,NULL,"cash","IT Zone","2","complete","2022-05-04 00:13:48","2022-05-04 00:13:48"
"143","63","Course Fee","3500","2079-01-20",NULL,"1000","2079-02-05",NULL,NULL,"cash","IT Zone","2","due","2022-05-04 03:54:02","2022-05-04 03:54:02"
"144","64","Registraion Fee","500","2079-01-08",NULL,"4500","2079-01-20",NULL,NULL,"cash","IT Zone","2","due","2022-05-04 04:03:13","2022-05-04 04:03:13"
"145","64","First Installment","1000","2079-01-20","0","3500","2079-02-05",NULL,NULL,"cash","IT Zone","2","due","2022-05-04 04:03:58","2022-05-18 04:44:56"
"146","134","Reg. Fee","500","2079-01-09",NULL,"8000","2079-01-20",NULL,NULL,"cash","IT Zone","2","due","2022-05-04 04:17:00","2022-05-04 04:17:00"
"147","134","Course Fee","6000","2079-01-20","2000","0","9999-99-99",NULL,NULL,"cash","Janak Bhatt","2","complete","2022-05-04 04:17:47","2022-05-04 04:17:47"
"148","97","Course Fee","1000","2079-01-20","0","8000","2079-02-13",NULL,NULL,"cash","IT Zone","2","due","2022-05-04 08:00:34","2022-05-26 05:51:35"
"149","139","Course Fee","9000","2079-01-20",NULL,"3000","2079-02-25",NULL,NULL,"cash","IT Zone","2","due","2022-05-04 20:22:10","2022-05-21 03:44:21"
"150","135","Reg. Fee","500","2079-01-12","0","2000","2079-02-16",NULL,NULL,"cash","IT Zone","2","due","2022-05-04 21:45:38","2022-05-24 22:48:31"
"151","21","Course Fee","7000","2078-12-29","3000","0","9999-99-99",NULL,NULL,"cash","IT Zone","2","complete","2022-05-04 22:21:39","2022-05-04 22:21:39"
"152","74","Course Fee","8500","2078-11-15","2500","3500","2079-04-02",NULL,NULL,"cash","IT Zone","2","due","2022-05-04 22:29:49","2022-06-19 23:15:46"
"153","113","First Installment","1000","2078-01-15",NULL,"10000","2079-04-25",NULL,NULL,"cash","IT Zone","2","due","2022-05-04 22:52:30","2022-07-05 22:42:03"
"154","51","First Inst.","1000","2078-08-27","0","10000","2079-01-30",NULL,NULL,"cash","IT Zone","2","due","2022-05-04 22:55:56","2022-05-05 22:34:27"
"157","12","Course Fee","2000","2079-11-26","500","0","9999-99-99",NULL,NULL,"cash","IT Zone","2","complete","2022-05-05 00:43:40","2022-05-05 00:43:40"
"158","22","Course Fee","6000","2079-11-10",NULL,"6000","2079-03-10",NULL,NULL,"cash","IT Zone","2","due","2022-05-05 00:57:18","2022-05-05 00:57:18"
"159","37","Course Fee","2500","2078-12-14",NULL,"0","9999-99-99",NULL,NULL,"cash","IT Zone","2","complete","2022-05-05 01:00:33","2022-05-05 01:00:33"
"160","45","Course Fee","6500","2078-12-29","2000","0","9999-99-99",NULL,NULL,"cash","IT Zone","2","complete","2022-05-05 01:11:13","2022-05-05 01:11:13"
"161","68","Course Fee","500","2079-01-09",NULL,"4500","2079-01-21",NULL,NULL,"cash","IT Zone","2","due","2022-05-05 01:19:15","2022-05-05 01:19:15"
"163","86","Course Fee","0","2078-11-25","8500","0","9999-99-99",NULL,"total fee 2500 baki sab discount janak sir ra rajendra sir le gareko","cash","IT Zone","2","complete","2022-05-05 01:38:43","2022-07-25 19:14:40"
"164","88","Course Fee","500","2079-01-08","0","8000","2079-01-23",NULL,NULL,"cash","IT Zone","2","due","2022-05-05 01:43:52","2022-05-05 21:15:29"
"165","68","Course Fee","4500","2079-01-21","0","0","9999-99-99",NULL,NULL,"cash","IT Zone","2","complete","2022-05-05 03:59:05","2022-05-05 03:59:05"
"166","67","Course Fee","4500","2079-01-21","0","0","9999-99-99",NULL,NULL,"cash","IT Zone","2","complete","2022-05-05 04:02:23","2022-05-05 04:02:23"
"167","129","Course Fee","2000","2079-01-22","0","6000","2079-02-15",NULL,NULL,"cash","IT Zone","2","due","2022-05-06 03:21:48","2022-05-06 03:21:48"
"168","122","Course Fee","2000","2079-01-22",NULL,"0","9999-99-99",NULL,NULL,"cash","IT Zone","2","complete","2022-05-06 07:32:37","2022-05-06 07:32:37"
"169","88","Course Fee","6000","2079-01-22","2000","0","9999-99-99",NULL,"OTP","cash","IT Zone","2","complete","2022-05-06 07:35:25","2022-05-06 07:35:25"
"170","139","Course Fee","1000","2079-01-25",NULL,"2000","2079-01-30",NULL,NULL,"cash","IT Zone","2","due","2022-05-08 08:50:12","2022-05-08 08:50:12"
"172","141","Course Fee","500","2079-01-09",NULL,"6000","2079-01-25",NULL,NULL,"cash","IT Zone","2","due","2022-05-08 20:41:14","2022-05-24 21:52:29"
"174","157","Course Fee","500","2079-01-13","0","6000","2079-01-27",NULL,NULL,"cash","IT Zone","2","due","2022-05-08 22:37:33","2022-05-09 07:18:53"
"175","156","Course Fee","500","2079-01-11","0","6000","2079-02-26",NULL,NULL,"cash","IT Zone","2","due","2022-05-08 22:38:51","2022-06-04 07:55:01"
"176","155","Course Fee","500","2079-01-09","0","6000","2079-02-08",NULL,NULL,"cash","IT Zone","2","due","2022-05-08 22:41:42","2022-05-20 23:57:51"
"177","152","Course Fee","500","2079-01-21","0","6000","2079-02-15",NULL,NULL,"cash","IT Zone","2","due","2022-05-08 23:06:40","2022-05-21 00:18:42"
"178","154","Course Fee","2500","2079-01-12","0","0","9999-99-99",NULL,NULL,"cash","IT Zone","2","complete","2022-05-09 00:51:25","2022-05-09 00:51:25"
"179","151","Course Fee","500","2079-01-21","4000","6000","2079-02-07",NULL,NULL,"cash","IT Zone","2","due","2022-05-09 01:05:46","2022-05-10 19:59:08"
"180","150","Course Fee","500","2079-01-15","0","6000","2079-02-03",NULL,NULL,"cash","IT Zone","2","due","2022-05-09 01:21:30","2022-05-10 20:01:00"
"181","149","Course Fee","500","2079-01-21","0","6000","2079-02-05",NULL,NULL,"cash","IT Zone","2","due","2022-05-09 01:25:14","2022-05-09 05:54:49"
"182","148","Course Fee","500","2079-01-20","0","6000","2079-02-27",NULL,NULL,"cash","IT Zone","2","due","2022-05-09 01:30:22","2022-05-21 03:43:02"
"183","147","Course Fee","500","2079-01-11","0","6000","2079-02-03",NULL,NULL,"cash","IT Zone","2","due","2022-05-09 01:41:38","2022-05-10 20:01:16"
"184","146","Course Fee","500","2079-01-09","0","6000","2079-01-25",NULL,NULL,"cash","IT Zone","2","due","2022-05-09 01:47:47","2022-05-09 01:47:47"
"185","144","Course Fee","6500","2079-01-18","0","0","9999-99-99",NULL,NULL,"cash","IT Zone","2","complete","2022-05-09 02:04:25","2022-05-09 02:04:25"
"186","143","Course Fee","500","2079-01-12","0","6000","2079-02-08",NULL,NULL,"cash","IT Zone","2","due","2022-05-09 05:20:29","2022-05-20 07:14:45"
"187","149","Course Fee","3000","2079-01-25","0","3000","2079-02-20",NULL,NULL,"cash","IT Zone","2","due","2022-05-09 05:55:22","2022-05-20 07:43:55"
"188","146","Course Fee","3000","2079-01-25","0","3000","2079-02-13",NULL,NULL,"cash","IT Zone","2","due","2022-05-09 06:02:49","2022-05-20 07:37:53"
"189","141","Course Fee","3000","2079-01-25",NULL,"3000","2079-02-08",NULL,NULL,"online","IT Zone","2","due","2022-05-09 06:07:15","2022-05-24 21:52:54"
"190","158","RegFee","500","2079-01-23","0","6000","2079-02-10",NULL,NULL,"cash","IT Zone","2","due","2022-05-09 06:32:00","2022-05-24 01:06:11"
"191","145","Course Fee","500","2079-01-15","0","6000","2079-02-12",NULL,NULL,"cash","IT Zone","2","due","2022-05-09 06:56:00","2022-05-20 23:54:04"
"192","120","Course Fee","6000","2079-01-25","2000","0","9999-99-99",NULL,NULL,"cash","IT Zone","2","complete","2022-05-09 07:13:53","2022-05-09 07:13:53"
"193","90","Course Fee","2000","2079-01-25","0","5000","9999-99-99",NULL,NULL,"cash","IT Zone","2","due","2022-05-09 07:15:55","2022-12-27 19:06:01"
"194","51","Course Fee","3000","2079-01-25","0","7000","2079-05-05",NULL,NULL,"cash","IT Zone","2","due","2022-05-09 07:50:04","2022-08-14 15:53:14"
"195","136","Reg Fee","500","2079-01-19",NULL,"5500","2079-01-25",NULL,NULL,"cash","IT Zone","2","due","2022-05-09 07:52:37","2022-05-09 07:52:37"
"196","136","Course Fee","4500","2079-01-25","1500","0","9999-99-99",NULL,NULL,"cash","IT Zone","2","complete","2022-05-09 07:53:26","2022-05-21 05:04:44"
